,Year,Mon,tmax,tmin
3678,1981,2,-0.3,-6.5
3679,1981,2,-5.0,-8.5
3680,1981,2,-0.1,-7.5
3681,1981,2,4.0,-8.0
3682,1981,3,4.7,-0.3
3683,1981,3,8.6,-1.0
3684,1981,3,7.2,0.6
3685,1981,3,10.8,2.6
3686,1981,3,10.2,0.6
3687,1981,3,8.2,-2.0
3688,1981,3,11.6,-0.6
3689,1981,3,12.5,1.8
3690,1981,3,8.4,1.0
3691,1981,3,8.6,-0.8
3692,1981,3,10.0,0.6
3693,1981,3,10.8,2.2
3694,1981,3,11.8,8.9
3695,1981,3,11.7,6.1
3696,1981,3,7.4,2.0
3697,1981,3,12.1,-0.8
3698,1981,3,15.1,3.7
3699,1981,3,18.8,1.8
3700,1981,3,17.0,5.9
3701,1981,3,19.0,4.8
3702,1981,3,17.9,5.0
3703,1981,3,20.3,5.7
3704,1981,3,11.9,4.3
3705,1981,3,12.1,8.0
3706,1981,3,12.9,7.4
3707,1981,3,9.7,2.2
3708,1981,3,10.7,-1.0
3709,1981,3,12.4,5.2
3710,1981,3,14.7,7.4
3711,1981,3,12.3,6.7
3712,1981,3,13.3,5.7
3713,1981,4,10.3,7.4
3714,1981,4,13.0,3.4
3715,1981,4,11.1,0.6
3716,1981,4,12.8,3.9
3717,1981,4,14.3,6.6
3718,1981,4,19.2,4.4
3719,1981,4,19.1,6.6
3720,1981,4,16.1,10.0
3721,1981,4,12.2,9.5
3722,1981,4,18.6,8.4
3723,1981,4,19.8,6.9
3724,1981,4,16.8,9.5
3725,1981,4,16.1,7.4
3726,1981,4,15.6,4.3
3727,1981,4,12.4,8.9
3728,1981,4,15.9,8.6
3729,1981,4,17.7,7.2
3730,1981,4,14.7,7.6
3731,1981,4,14.7,7.9
3732,1981,4,17.6,6.8
3733,1981,4,18.4,5.6
3734,1981,4,21.2,7.4
3735,1981,4,21.0,11.9
3736,1981,4,18.8,10.4
3737,1981,4,20.2,6.4
3738,1981,4,20.7,7.5
3739,1981,4,21.5,7.9
3740,1981,4,19.1,8.9
3741,1981,4,16.5,12.2
3742,1981,4,21.8,9.0
3743,1981,5,21.0,9.2
3744,1981,5,16.6,11.0
3745,1981,5,18.0,9.9
3746,1981,5,19.0,8.3
3747,1981,5,20.7,10.3
3748,1981,5,18.8,11.4
3749,1981,5,20.7,12.1
3750,1981,5,18.2,11.2
3751,1981,5,20.8,15.5
3752,1981,5,20.0,15.9
3753,1981,5,19.2,11.8
3754,1981,5,20.4,9.8
3755,1981,5,22.5,8.6
3756,1981,5,23.6,9.4
3757,1981,5,16.5,13.1
3758,1981,5,15.1,12.2
3759,1981,5,17.2,9.7
3760,1981,5,18.3,9.8
3761,1981,5,18.5,8.2
3762,1981,5,22.9,8.6
3763,1981,5,24.0,9.9
3764,1981,5,23.7,9.2
3765,1981,5,23.3,13.3
3766,1981,5,24.3,12.9
3767,1981,5,27.5,14.0
3768,1981,5,28.5,14.8
3769,1981,5,18.3,14.8
3770,1981,5,22.4,14.9
3771,1981,5,27.5,13.0
3772,1981,5,18.3,12.5
3773,1981,5,23.3,12.7
3774,1981,6,19.9,11.8
3775,1981,6,22.7,9.9
3776,1981,6,24.0,11.9
3777,1981,6,26.2,12.4
3778,1981,6,25.9,11.7
3779,1981,6,28.0,12.0
3780,1981,6,28.7,12.0
3781,1981,6,29.3,14.5
3782,1981,6,24.8,17.2
3783,1981,6,19.6,16.4
3784,1981,6,18.8,16.5
3785,1981,6,19.8,15.9
3786,1981,6,21.0,15.9
3787,1981,6,19.2,14.8
3788,1981,6,22.9,14.5
3789,1981,6,23.4,14.8
3790,1981,6,27.7,16.1
3791,1981,6,30.5,18.5
3792,1981,6,22.1,18.5
3793,1981,6,22.6,18.4
3794,1981,6,27.6,19.4
3795,1981,6,25.4,21.8
3796,1981,6,26.8,18.7
3797,1981,6,23.1,17.1
3798,1981,6,21.1,16.9
3799,1981,6,22.9,19.2
3800,1981,6,22.5,19.8
3801,1981,6,22.2,19.9
3802,1981,6,24.3,19.0
3803,1981,6,23.0,18.9
3804,1981,7,24.6,20.1
3805,1981,7,25.8,21.6
3806,1981,7,24.8,22.4
3807,1981,7,26.8,21.0
3808,1981,7,28.4,20.1
3809,1981,7,25.2,21.0
3810,1981,7,28.0,20.7
3811,1981,7,29.6,21.2
3812,1981,7,25.7,22.2
3813,1981,7,22.8,19.0
3814,1981,7,24.9,18.9
3815,1981,7,26.2,22.4
3816,1981,7,29.8,22.5
3817,1981,7,30.8,23.5
3818,1981,7,29.6,22.8
3819,1981,7,29.4,24.2
3820,1981,7,29.7,23.6
3821,1981,7,32.3,24.1
3822,1981,7,33.5,22.9
3823,1981,7,32.8,22.6
3824,1981,7,32.5,21.8
3825,1981,7,33.1,21.5
3826,1981,7,29.3,22.3
3827,1981,7,29.7,22.9
